txn_id,from_account,to_account,amount,currency,timestamp,status
TXN000052,ACC00072,ACC00043,3366.57,USD,2026-04-01T21:48:00,pending
TXN000053,ACC00112,ACC00118,3619.25,USD,2026-06-03T09:22:00,completed
TXN000054,ACC00074,ACC00065,1103.06,USD,2026-02-27T03:22:00,flagged
TXN000055,ACC00048,ACC00015,3824.9,INR,2026-04-20T17:49:00,flagged
TXN000056,ACC00079,ACC00087,3231.36,INR,2026-06-05T21:53:00,completed
TXN000057,ACC00004,ACC00024,1402.69,USD,2026-03-28T11:00:00,completed
TXN000058,ACC00112,ACC00019,2853.29,USD,2026-01-18T04:47:00,completed
TXN000059,ACC00012,ACC00096,2675.89,USD,2026-04-18T14:21:00,completed
TXN000060,ACC00048,ACC00040,3621.9,INR,2026-01-14T04:10:00,flagged
TXN000061,ACC00007,ACC00087,453.83,USD,2026-06-19T13:31:00,flagged
TXN000062,ACC00057,ACC00054,1402.18,INR,2026-03-30T13:07:00,completed
TXN000063,ACC00087,ACC00076,2458.83,USD,2026-01-12T07:25:00,flagged
TXN000064,ACC00008,ACC00001,1061.89,INR,2026-02-05T08:18:00,completed
TXN000065,ACC00016,ACC00001,2512.06,USD,2026-02-14T04:24:00,flagged
TXN000066,ACC00091,ACC00030,2526.3,USD,2026-01-19T12:55:00,completed
TXN000067,ACC00056,ACC00003,2325.78,INR,2026-03-22T18:27:00,flagged
TXN000068,ACC00052,ACC00091,3218.7,USD,2026-01-30T12:01:00,completed
TXN000069,ACC00022,ACC00103,4740.69,USD,2026-06-26T11:05:00,pending
TXN000070,ACC00109,ACC00014,1254.42,USD,2026-05-15T02:25:00,completed
TXN000071,ACC00096,ACC00044,1146.78,INR,2026-01-20T16:40:00,completed
TXN000072,ACC00068,ACC00066,1009.82,USD,2026-03-31T23:52:00,completed
TXN000073,ACC00031,ACC00014,774.9,INR,2026-02-14T19:09:00,completed
TXN000074,ACC00023,ACC00099,3158.35,USD,2026-05-25T18:28:00,flagged
TXN000075,ACC00083,ACC00082,4933.33,USD,2026-06-10T10:09:00,pending
TXN000076,ACC00009,ACC00061,2238.93,USD,2026-03-12T18:03:00,completed
TXN000077,ACC00065,ACC00010,1586.52,USD,2026-01-10T01:23:00,completed
TXN000078,ACC00010,ACC00083,4328.04,INR,2026-06-07T19:32:00,pending
TXN000079,ACC00060,ACC00075,2793.87,INR,2026-04-26T18:41:00,completed
TXN000080,ACC00042,ACC00078,2404.36,INR,2026-01-16T14:06:00,completed
TXN000081,ACC00092,ACC00011,2547.52,INR,2026-01-11T07:45:00,pending
TXN000082,ACC00057,ACC00068,2637.6,INR,2026-04-04T11:58:00,completed
TXN000083,ACC00050,ACC00053,3883.6,INR,2026-06-11T20:21:00,completed
TXN000084,ACC00043,ACC00013,2811.92,USD,2026-03-14T08:46:00,flagged
TXN000085,ACC00112,ACC00020,1700.14,INR,2026-03-31T09:41:00,pending
TXN000086,ACC00017,ACC00077,3558.73,INR,2026-03-21T17:24:00,completed
TXN000087,ACC00105,ACC00017,3367.08,INR,2026-06-15T21:27:00,flagged
TXN000088,ACC00047,ACC00003,1844.86,INR,2026-02-24T10:49:00,pending
TXN000089,ACC00025,ACC00029,4999.88,INR,2026-01-20T09:54:00,completed
TXN000090,ACC00065,ACC00099,2721.87,INR,2026-06-19T10:56:00,flagged
TXN000091,ACC00017,ACC00077,1914.76,INR,2026-02-16T22:49:00,flagged
TXN000092,ACC00104,ACC00116,869.42,USD,2026-01-12T13:23:00,completed
TXN000093,ACC00057,ACC00079,1460.39,USD,2026-03-01T17:15:00,completed
TXN000094,ACC00104,ACC00101,2371.63,INR,2026-04-05T21:36:00,pending
TXN000095,ACC00060,ACC00099,1444.77,USD,2026-05-09T16:26:00,completed
TXN000096,ACC00105,ACC00026,4016.23,INR,2026-03-06T01:41:00,pending
TXN000097,ACC00112,ACC00048,2794.98,INR,2026-05-13T03:18:00,completed
TXN000098,ACC00098,ACC00021,1400.32,INR,2026-04-22T02:58:00,completed
TXN000099,ACC00105,ACC00058,4428.92,INR,2026-04-17T01:25:00,flagged
TXN000100,ACC00048,ACC00031,1961.52,INR,2026-04-06T07:01:00,completed
TXN000101,ACC00120,ACC00013,4203.92,USD,2026-02-07T04:02:00,completed
TXN000102,ACC00118,ACC00107,2388.65,INR,2026-06-30T15:28:00,flagged
TXN000103,ACC00001,ACC00116,442.17,USD,2026-02-25T04:35:00,flagged
TXN000104,ACC00068,ACC00055,600.37,USD,2026-03-02T09:07:00,completed
TXN000105,ACC00031,ACC00054,3212.81,USD,2026-01-17T03:53:00,pending
TXN000106,ACC00077,ACC00069,131.35,INR,2026-02-06T09:27:00,completed
TXN000107,ACC00079,ACC00046,1240.79,USD,2026-02-17T21:42:00,completed
TXN000108,ACC00068,ACC00047,385.01,INR,2026-04-10T15:02:00,pending
TXN000109,ACC00048,ACC00033,3749.22,USD,2026-01-18T11:15:00,completed
TXN000110,ACC00099,ACC00075,3689.18,USD,2026-02-04T01:22:00,flagged
TXN000111,ACC00044,ACC00105,3231.84,USD,2026-06-28T15:40:00,completed
TXN000112,ACC00104,ACC00018,362.35,USD,2026-01-10T09:12:00,completed
TXN000113,ACC00102,ACC00026,4434.66,USD,2026-03-21T16:25:00,flagged
TXN000114,ACC00061,ACC00033,231.27,INR,2026-03-15T11:55:00,completed
TXN000115,ACC00111,ACC00084,1693.03,INR,2026-04-05T13:56:00,pending
TXN000116,ACC00096,ACC00057,4478.46,USD,2026-03-28T05:31:00,pending
TXN000117,ACC00048,ACC00119,3996.59,USD,2026-01-22T23:27:00,completed
TXN000118,ACC00056,ACC00078,4975.74,INR,2026-05-20T09:20:00,completed
TXN000119,ACC00011,ACC00042,3321.55,USD,2026-04-25T19:45:00,pending
TXN000120,ACC00022,ACC00089,2247.35,USD,2026-01-11T23:55:00,completed
TXN000121,ACC00079,ACC00056,1409.05,INR,2026-01-20T21:40:00,pending
TXN000122,ACC00047,ACC00066,4015.43,INR,2026-01-08T04:54:00,flagged
TXN000123,ACC00087,ACC00101,2218.96,INR,2026-01-18T07:49:00,completed
TXN000124,ACC00047,ACC00050,4749.86,INR,2026-06-04T04:43:00,pending
TXN000125,ACC00048,ACC00057,3827.27,INR,2026-05-16T11:25:00,completed
TXN000126,ACC00084,ACC00036,1285.58,INR,2026-01-07T23:11:00,pending
TXN000127,ACC00067,ACC00050,4572.04,INR,2026-03-09T08:45:00,pending
TXN000128,ACC00028,ACC00079,1463.61,USD,2026-02-21T03:08:00,completed
TXN000129,ACC00058,ACC00023,4498.46,USD,2026-01-23T21:54:00,completed
TXN000130,ACC00086,ACC00045,3562.23,USD,2026-03-18T05:45:00,completed
TXN000131,ACC00102,ACC00047,2568.34,INR,2026-02-21T04:15:00,pending
TXN000132,ACC00004,ACC00047,2792.41,USD,2026-04-30T17:08:00,flagged
TXN000133,ACC00114,ACC00012,375.45,USD,2026-05-03T16:26:00,pending
TXN000134,ACC00106,ACC00074,415.07,USD,2026-06-14T02:28:00,pending
TXN000135,ACC00088,ACC00067,1755.35,INR,2026-02-03T13:32:00,completed
TXN000136,ACC00107,ACC00016,2614.61,USD,2026-02-12T05:20:00,completed
TXN000137,ACC00045,ACC00067,4479.88,INR,2026-03-06T06:40:00,flagged
TXN000138,ACC00036,ACC00017,3143.86,INR,2026-05-09T20:10:00,flagged
TXN000139,ACC00075,ACC00020,897.44,USD,2026-05-25T01:52:00,completed
TXN000140,ACC00011,ACC00006,4745.31,USD,2026-06-16T06:49:00,flagged
TXN000141,ACC00054,ACC00080,3213.01,USD,2026-06-10T17:18:00,completed
TXN000142,ACC00062,ACC00032,4033.21,USD,2026-03-18T14:04:00,completed
TXN000143,ACC00021,ACC00057,2107.33,USD,2026-02-22T10:38:00,completed
TXN000144,ACC00041,ACC00111,3605.9,USD,2026-04-13T04:48:00,completed
TXN000145,ACC00066,ACC00072,575.61,INR,2026-04-30T03:17:00,pending
TXN000146,ACC00032,ACC00019,529.22,USD,2026-04-09T19:26:00,completed
TXN000147,ACC00111,ACC00116,840.51,USD,2026-05-28T23:20:00,completed
TXN000148,ACC00098,ACC00021,2516.41,USD,2026-05-08T09:31:00,completed
TXN000149,ACC00012,ACC00051,2551.95,INR,2026-02-25T18:22:00,completed
TXN000150,ACC00007,ACC00037,2499.73,USD,2026-03-15T17:00:00,completed
TXN000151,ACC00056,ACC00018,4418.16,USD,2026-04-14T11:02:00,pending
TXN000152,ACC00007,ACC00073,2830.99,USD,2026-05-22T09:04:00,pending
TXN000153,ACC00065,ACC00058,3833.8,USD,2026-06-09T21:39:00,completed
TXN000154,ACC00017,ACC00013,1999.82,USD,2026-05-23T11:48:00,completed
TXN000155,ACC00026,ACC00078,2570.16,INR,2026-01-12T01:08:00,completed
TXN000156,ACC00103,ACC00061,2620.7,INR,2026-06-05T16:08:00,completed
TXN000157,ACC00120,ACC00079,1626.72,USD,2026-06-07T23:53:00,completed
TXN000158,ACC00076,ACC00044,2561.21,USD,2026-05-25T09:30:00,completed
TXN000159,ACC00048,ACC00043,3385.34,USD,2026-05-30T09:50:00,completed
TXN000160,ACC00077,ACC00061,1364.38,INR,2026-01-14T18:30:00,completed
TXN000161,ACC00068,ACC00081,3619.86,USD,2026-02-07T21:15:00,completed
TXN000162,ACC00074,ACC00090,593.98,INR,2026-04-23T10:26:00,completed
TXN000163,ACC00053,ACC00089,1059.26,USD,2026-01-16T22:08:00,flagged
TXN000164,ACC00027,ACC00072,1659.0,USD,2026-05-15T12:20:00,completed
TXN000165,ACC00059,ACC00117,2688.98,USD,2026-06-23T23:43:00,completed
TXN000166,ACC00079,ACC00062,1001.71,INR,2026-03-13T17:19:00,completed
TXN000167,ACC00039,ACC00099,1480.57,INR,2026-06-26T22:31:00,completed
TXN000168,ACC00062,ACC00045,2824.41,USD,2026-03-15T03:36:00,flagged
TXN000169,ACC00049,ACC00115,4901.79,USD,2026-02-07T09:02:00,completed
TXN000170,ACC00092,ACC00011,1764.5,USD,2026-06-17T08:47:00,pending
TXN000171,ACC00028,ACC00026,4148.36,USD,2026-05-24T22:17:00,completed
TXN000172,ACC00014,ACC00079,3717.41,INR,2026-03-04T01:42:00,flagged
TXN000173,ACC00029,ACC00082,1202.54,INR,2026-04-16T10:45:00,pending
TXN000174,ACC00013,ACC00088,3865.29,INR,2026-05-21T05:26:00,pending
TXN000175,ACC00062,ACC00084,1037.31,USD,2026-03-24T09:41:00,completed
TXN000176,ACC00117,ACC00099,492.83,INR,2026-05-17T23:46:00,completed
TXN000177,ACC00117,ACC00118,916.57,INR,2026-01-10T12:50:00,pending
TXN000178,ACC00024,ACC00120,3757.57,USD,2026-01-10T00:19:00,flagged
TXN000179,ACC00078,ACC00014,4645.85,USD,2026-03-14T14:41:00,flagged
TXN000180,ACC00068,ACC00064,4451.84,INR,2026-05-10T14:17:00,completed
TXN000181,ACC00104,ACC00015,1686.89,USD,2026-06-15T08:45:00,completed
TXN000182,ACC00002,ACC00095,1718.71,USD,2026-05-26T21:48:00,completed
TXN000183,ACC00023,ACC00079,4287.93,USD,2026-04-20T16:20:00,completed
TXN000184,ACC00052,ACC00086,522.16,INR,2026-05-03T10:59:00,completed
TXN000185,ACC00001,ACC00034,1948.69,USD,2026-03-10T10:19:00,flagged
TXN000186,ACC00093,ACC00074,106.61,USD,2026-06-27T07:03:00,completed
TXN000187,ACC00060,ACC00040,840.6,USD,2026-06-26T03:40:00,completed
TXN000188,ACC00048,ACC00079,1143.2,INR,2026-05-03T04:29:00,flagged
TXN000189,ACC00048,ACC00054,3524.61,USD,2026-05-18T21:52:00,completed
TXN000190,ACC00098,ACC00032,3417.69,INR,2026-05-15T14:33:00,completed
TXN000191,ACC00010,ACC00118,2842.64,INR,2026-05-21T16:12:00,flagged
TXN000192,ACC00069,ACC00020,864.46,USD,2026-01-30T21:13:00,flagged
TXN000193,ACC00063,ACC00012,4499.5,USD,2026-01-15T14:08:00,flagged
TXN000194,ACC00054,ACC00059,2841.36,USD,2026-06-22T09:46:00,completed
TXN000195,ACC00051,ACC00033,4091.44,INR,2026-05-29T02:02:00,pending
TXN000196,ACC00045,ACC00090,365.61,INR,2026-01-18T15:02:00,completed
TXN000197,ACC00053,ACC00024,3856.41,USD,2026-04-06T12:28:00,pending
TXN000198,ACC00049,ACC00011,3429.52,INR,2026-06-17T11:07:00,completed
TXN000199,ACC00069,ACC00051,2667.77,INR,2026-01-01T00:19:00,pending
TXN000200,ACC00087,ACC00093,2745.0,USD,2026-02-28T07:29:00,completed
TXN000201,ACC00020,ACC00036,982.98,INR,2026-01-09T21:26:00,flagged
TXN000202,ACC00099,ACC00120,4424.6,INR,2026-03-03T06:04:00,completed
TXN000203,ACC00077,ACC00005,2259.88,INR,2026-03-04T23:02:00,pending
TXN000204,ACC00057,ACC00030,2721.81,INR,2026-02-05T16:18:00,completed
TXN000205,ACC00105,ACC00118,3671.01,USD,2026-05-28T19:49:00,completed
TXN000206,ACC00031,ACC00039,4387.48,INR,2026-04-16T09:17:00,completed
TXN000207,ACC00072,ACC00076,4404.58,INR,2026-06-10T21:27:00,flagged
TXN000208,ACC00064,ACC00007,4862.84,USD,2026-05-15T10:44:00,pending
TXN000209,ACC00053,ACC00020,1534.45,INR,2026-05-18T15:15:00,completed
TXN000210,ACC00039,ACC00110,3552.51,USD,2026-01-15T17:26:00,pending
TXN000211,ACC00072,ACC00068,713.76,INR,2026-03-07T06:21:00,completed
TXN000212,ACC00119,ACC00058,4243.31,INR,2026-05-18T23:53:00,completed
TXN000213,ACC00007,ACC00035,1916.98,INR,2026-01-19T06:51:00,flagged
TXN000214,ACC00093,ACC00086,2816.31,USD,2026-02-23T10:19:00,completed
TXN000215,ACC00028,ACC00120,990.62,INR,2026-05-03T07:44:00,flagged
TXN000216,ACC00091,ACC00027,2013.33,INR,2026-05-22T10:49:00,completed
TXN000217,ACC00049,ACC00060,2691.57,USD,2026-03-20T08:23:00,flagged
TXN000218,ACC00113,ACC00064,2356.72,USD,2026-03-23T06:23:00,completed
TXN000219,ACC00053,ACC00006,2834.5,INR,2026-02-07T00:16:00,flagged
TXN000220,ACC00120,ACC00075,2916.76,USD,2026-03-17T04:12:00,completed
TXN000221,ACC00030,ACC00049,2870.46,INR,2026-05-08T17:41:00,completed
TXN000222,ACC00033,ACC00098,4116.88,USD,2026-04-28T05:46:00,completed
TXN000223,ACC00022,ACC00018,3615.55,USD,2026-02-17T17:41:00,completed
TXN000224,ACC00068,ACC00005,4203.39,INR,2026-06-21T01:48:00,completed
TXN000225,ACC00053,ACC00018,4220.6,INR,2026-01-18T22:09:00,completed
TXN000226,ACC00028,ACC00065,2307.25,INR,2026-06-08T20:42:00,flagged
TXN000227,ACC00117,ACC00062,3313.46,INR,2026-01-02T17:35:00,pending
TXN000228,ACC00002,ACC00003,2670.62,USD,2026-05-18T09:01:00,flagged
TXN000229,ACC00105,ACC00090,3386.46,INR,2026-01-28T03:33:00,completed
TXN000230,ACC00031,ACC00025,3117.92,USD,2026-04-01T08:50:00,pending
TXN000231,ACC00011,ACC00048,4798.52,USD,2026-05-25T07:44:00,completed
TXN000232,ACC00039,ACC00088,4148.91,INR,2026-06-17T20:48:00,completed
TXN000233,ACC00012,ACC00052,1927.36,USD,2026-01-15T20:00:00,completed
TXN000234,ACC00011,ACC00064,4234.38,USD,2026-05-25T03:57:00,flagged
TXN000235,ACC00118,ACC00006,1187.34,USD,2026-03-11T01:59:00,completed
TXN000236,ACC00088,ACC00119,1437.85,INR,2026-02-15T10:01:00,completed
TXN000237,ACC00076,ACC00019,3773.66,USD,2026-01-20T09:10:00,flagged
TXN000238,ACC00031,ACC00073,4181.52,USD,2026-06-23T17:21:00,pending
TXN000239,ACC00097,ACC00095,742.76,INR,2026-05-09T23:22:00,completed
TXN000240,ACC00013,ACC00056,1199.11,INR,2026-03-29T19:49:00,flagged
TXN000241,ACC00077,ACC00051,4846.16,USD,2026-01-08T20:17:00,pending
TXN000242,ACC00063,ACC00030,1811.27,USD,2026-04-21T05:43:00,flagged
TXN000243,ACC00085,ACC00049,474.19,USD,2026-03-05T22:04:00,completed
TXN000244,ACC00035,ACC00020,1931.0,INR,2026-04-10T10:23:00,completed
TXN000245,ACC00012,ACC00001,4717.65,USD,2026-04-03T08:06:00,completed
TXN000246,ACC00012,ACC00024,2183.35,USD,2026-01-27T00:05:00,completed
TXN000247,ACC00071,ACC00012,3004.78,USD,2026-04-09T00:18:00,pending
TXN000248,ACC00050,ACC00100,469.26,INR,2026-05-27T16:10:00,pending
TXN000249,ACC00022,ACC00018,1381.15,USD,2026-05-07T04:04:00,completed
TXN000250,ACC00056,ACC00036,2134.46,USD,2026-01-20T11:16:00,completed
TXN000251,ACC00093,ACC00081,2504.22,INR,2026-04-28T03:08:00,completed
TXN000252,ACC00001,ACC00051,1694.48,USD,2026-03-26T14:21:00,pending
TXN000253,ACC00105,ACC00106,4304.57,INR,2026-03-18T10:38:00,completed
TXN000254,ACC00062,ACC00041,929.3,USD,2026-03-23T09:47:00,pending
TXN000255,ACC00074,ACC00101,1250.0,USD,2026-03-13T12:23:00,completed
TXN000256,ACC00120,ACC00073,1039.01,INR,2026-06-24T17:01:00,pending
TXN000257,ACC00091,ACC00027,2220.35,USD,2026-06-27T02:52:00,pending
TXN000258,ACC00087,ACC00064,738.94,USD,2026-03-03T08:42:00,completed
TXN000259,ACC00092,ACC00055,3955.93,INR,2026-04-25T19:30:00,flagged
TXN000260,ACC00052,ACC00069,2557.73,USD,2026-05-20T01:50:00,completed
TXN000261,ACC00090,ACC00115,4070.87,INR,2026-01-28T07:42:00,completed
TXN000262,ACC00022,ACC00083,3082.76,USD,2026-03-26T13:06:00,completed
TXN000263,ACC00013,ACC00034,1148.91,INR,2026-04-25T11:25:00,pending
TXN000264,ACC00099,ACC00087,2963.52,INR,2026-03-30T00:30:00,completed
TXN000265,ACC00038,ACC00054,4606.71,INR,2026-01-30T23:09:00,completed
TXN000266,ACC00040,ACC00044,2303.9,INR,2026-05-14T15:22:00,pending
TXN000267,ACC00013,ACC00057,3623.87,USD,2026-03-23T02:19:00,completed
TXN000268,ACC00104,ACC00091,619.67,USD,2026-06-15T03:43:00,completed
TXN000269,ACC00120,ACC00095,1257.37,INR,2026-05-22T05:21:00,flagged
TXN000270,ACC00055,ACC00060,1197.68,USD,2026-06-11T05:11:00,pending
TXN000271,ACC00051,ACC00004,3700.07,INR,2026-04-26T18:27:00,pending
TXN000272,ACC00001,ACC00091,1113.24,USD,2026-06-30T02:36:00,completed
TXN000273,ACC00103,ACC00112,2707.6,USD,2026-03-25T06:29:00,completed
TXN000274,ACC00034,ACC00086,4320.05,USD,2026-06-02T12:39:00,pending
TXN000275,ACC00076,ACC00015,1772.23,USD,2026-06-08T05:52:00,completed
TXN000276,ACC00118,ACC00079,2971.33,INR,2026-03-22T03:15:00,completed
TXN000277,ACC00015,ACC00024,1897.87,INR,2026-05-11T12:26:00,flagged
TXN000278,ACC00018,ACC00074,1949.36,INR,2026-05-05T20:34:00,completed
TXN000279,ACC00072,ACC00022,2473.73,INR,2026-02-17T10:53:00,pending
TXN000280,ACC00080,ACC00007,4334.34,INR,2026-05-05T04:12:00,pending
TXN000281,ACC00072,ACC00065,3282.7,USD,2026-06-25T15:26:00,pending
TXN000282,ACC00063,ACC00022,459.22,INR,2026-02-26T09:02:00,completed
TXN000283,ACC00029,ACC00069,1478.92,USD,2026-05-25T23:49:00,pending
TXN000284,ACC00071,ACC00066,610.39,INR,2026-03-10T17:52:00,completed
TXN000285,ACC00070,ACC00106,3796.09,USD,2026-05-20T06:27:00,completed
TXN000286,ACC00095,ACC00107,3285.67,INR,2026-03-18T01:28:00,completed
TXN000287,ACC00045,ACC00111,4092.81,USD,2026-01-31T07:13:00,flagged
TXN000288,ACC00089,ACC00045,4312.19,USD,2026-02-12T19:08:00,completed
TXN000289,ACC00105,ACC00027,4036.93,USD,2026-05-17T08:38:00,flagged
TXN000290,ACC00022,ACC00042,4896.05,USD,2026-03-16T18:17:00,flagged
TXN000291,ACC00116,ACC00087,4085.15,INR,2026-04-16T01:17:00,completed
TXN000292,ACC00090,ACC00111,706.82,INR,2026-03-24T07:48:00,pending
TXN000293,ACC00063,ACC00019,2908.26,USD,2026-06-10T13:24:00,pending
TXN000294,ACC00010,ACC00082,3983.26,INR,2026-04-14T16:47:00,completed
TXN000295,ACC00089,ACC00120,4392.72,USD,2026-05-05T10:37:00,completed
TXN000296,ACC00112,ACC00100,4243.48,INR,2026-04-28T20:42:00,completed
TXN000297,ACC00109,ACC00009,3988.61,USD,2026-02-25T13:52:00,completed
TXN000298,ACC00064,ACC00035,1648.18,USD,2026-03-28T17:36:00,completed
TXN000299,ACC00073,ACC00110,2452.42,USD,2026-06-24T01:02:00,completed
TXN000300,ACC00081,ACC00101,4191.68,INR,2026-02-01T05:28:00,pending
TXN000301,ACC00001,ACC00055,1051.48,INR,2026-06-16T09:10:00,completed
TXN000302,ACC00012,ACC00084,1834.16,INR,2026-04-06T21:57:00,completed
TXN000303,ACC00007,ACC00051,3146.74,INR,2026-04-20T20:05:00,completed
TXN000304,ACC00001,ACC00028,2410.19,INR,2026-06-01T07:33:00,pending
TXN000305,ACC00002,ACC00090,1750.69,INR,2026-04-19T22:08:00,pending
TXN000306,ACC00010,ACC00030,1946.2,INR,2026-01-27T10:23:00,completed
TXN000307,ACC00018,ACC00049,3878.63,INR,2026-06-14T21:09:00,completed
TXN000308,ACC00068,ACC00073,91.95,INR,2026-04-23T11:46:00,completed
TXN000309,ACC00081,ACC00096,799.3,USD,2026-06-07T21:28:00,completed
TXN000310,ACC00012,ACC00115,547.3,INR,2026-05-31T23:24:00,completed
TXN000311,ACC00055,ACC00041,3965.83,INR,2026-03-12T20:05:00,completed
TXN000312,ACC00071,ACC00077,3020.04,USD,2026-06-26T00:54:00,completed
TXN000313,ACC00027,ACC00067,3054.29,INR,2026-04-11T09:41:00,completed
TXN000314,ACC00101,ACC00115,3979.2,INR,2026-05-07T12:07:00,completed
TXN000315,ACC00064,ACC00082,2989.95,INR,2026-04-03T10:08:00,pending
TXN000316,ACC00111,ACC00108,2863.48,USD,2026-05-20T21:11:00,pending
TXN000317,ACC00099,ACC00010,132.61,INR,2026-01-04T08:13:00,completed
TXN000318,ACC00119,ACC00008,4745.97,USD,2026-05-10T09:40:00,flagged
TXN000319,ACC00099,ACC00054,2146.7,USD,2026-01-22T20:34:00,flagged
TXN000320,ACC00079,ACC00020,1423.47,USD,2026-01-21T16:58:00,completed
TXN000321,ACC00104,ACC00020,2705.13,USD,2026-05-31T20:48:00,completed
TXN000322,ACC00040,ACC00090,2215.56,INR,2026-01-15T07:05:00,pending
TXN000323,ACC00015,ACC00059,3080.87,INR,2026-03-21T21:47:00,completed
TXN000324,ACC00016,ACC00002,3554.11,INR,2026-02-11T15:22:00,flagged
TXN000325,ACC00067,ACC00101,4121.41,USD,2026-02-12T11:08:00,completed
TXN000326,ACC00094,ACC00114,634.38,INR,2026-03-27T13:17:00,flagged
TXN000327,ACC00009,ACC00034,3576.0,INR,2026-05-08T14:32:00,completed
TXN000328,ACC00008,ACC00064,4303.83,INR,2026-04-05T05:16:00,completed
TXN000329,ACC00115,ACC00074,3386.9,INR,2026-02-28T23:32:00,completed
TXN000330,ACC00006,ACC00110,4321.5,INR,2026-01-12T15:23:00,pending
TXN000331,ACC00118,ACC00020,935.86,INR,2026-05-22T22:47:00,pending
