account_id,name,account_type,risk_score,created_date
ACC00072,Customer_00072,business,0.0,2025-04-12
ACC00073,Customer_00073,business,0.0,2025-04-12
ACC00074,Customer_00074,business,0.0,2022-02-14
ACC00075,Customer_00075,business,0.0,2024-03-25
ACC00076,Customer_00076,savings,0.0,2023-01-31
ACC00077,Customer_00077,checking,0.0,2022-05-11
ACC00078,Customer_00078,business,0.0,2022-04-10
ACC00079,Customer_00079,savings,0.0,2024-05-10
ACC00080,Customer_00080,checking,0.0,2024-02-06
ACC00081,Customer_00081,business,0.0,2021-12-27
ACC00082,Customer_00082,savings,0.0,2023-08-23
ACC00083,Customer_00083,savings,0.0,2024-04-09
ACC00084,Customer_00084,business,0.0,2023-12-29
ACC00085,Customer_00085,savings,0.0,2025-03-30
ACC00086,Customer_00086,savings,0.0,2023-03-17
ACC00087,Customer_00087,savings,0.0,2024-03-23
ACC00088,Customer_00088,business,0.0,2024-04-13
ACC00089,Customer_00089,checking,0.0,2024-11-20
ACC00090,Customer_00090,checking,0.0,2025-07-04
ACC00091,Customer_00091,savings,0.0,2022-10-17
ACC00092,Customer_00092,business,0.0,2023-07-08
ACC00093,Customer_00093,business,0.0,2024-09-26
ACC00094,Customer_00094,business,0.0,2025-07-02
ACC00095,Customer_00095,checking,0.0,2024-04-15
ACC00096,Customer_00096,savings,0.0,2022-01-25
ACC00097,Customer_00097,savings,0.0,2022-04-16
ACC00098,Customer_00098,checking,0.0,2022-08-02
ACC00099,Customer_00099,checking,0.0,2023-02-12
ACC00100,Customer_00100,business,0.0,2024-07-08
ACC00101,Customer_00101,checking,0.0,2022-09-09
ACC00102,Customer_00102,business,0.0,2023-06-24
ACC00103,Customer_00103,checking,0.0,2022-03-01
ACC00104,Customer_00104,checking,0.0,2022-03-17
ACC00105,Customer_00105,checking,0.0,2024-02-09
ACC00106,Customer_00106,savings,0.0,2023-01-06
ACC00107,Customer_00107,business,0.0,2025-03-09
ACC00108,Customer_00108,business,0.0,2024-07-30
ACC00109,Customer_00109,savings,0.0,2023-05-02
ACC00110,Customer_00110,checking,0.0,2023-08-05
ACC00111,Customer_00111,savings,0.0,2022-07-24
ACC00112,Customer_00112,checking,0.0,2025-11-27
ACC00113,Customer_00113,business,0.0,2023-03-17
ACC00114,Customer_00114,savings,0.0,2022-01-04
ACC00115,Customer_00115,business,0.0,2023-04-09
ACC00116,Customer_00116,business,0.0,2022-08-12
ACC00117,Customer_00117,checking,0.0,2025-11-01
ACC00118,Customer_00118,business,0.0,2022-01-14
ACC00119,Customer_00119,business,0.0,2023-03-09
ACC00120,Customer_00120,savings,0.0,2023-06-28
